# atom_fire_audit — 79 atoms × 4749 envelopes (4749 successful Synthesize runs)

atom_id                                             count  fires-on (sample / full)
develop-deploy-files-self-deploy                     4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-deploy-modes                                 4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-env-var-channels                             4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-http-diagnostic                              4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-knowledge-pointers                           4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-verify-matrix                                4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
develop-auto-close-semantics                         4612  [develop-closed-auto/container develop-closed-auto/local develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY ... +4607 more]
develop-api-error-meta                               4730  [bootstrap/container/adopt/close/no-svc bootstrap/container/adopt/close/svc-dynamic bootstrap/container/adopt/close/svc-implicit-webserver bootstrap/container/adopt/close/svc-managed bootstrap/container/adopt/close/svc-static ... +4725 more]
develop-platform-rules-common                        4730  [bootstrap/container/adopt/close/no-svc bootstrap/container/adopt/close/svc-dynamic bootstrap/container/adopt/close/svc-implicit-webserver bootstrap/container/adopt/close/svc-managed bootstrap/container/adopt/close/svc-static ... +4725 more]

# DEAD candidates (fire-set = 0)
  (none)
